Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
2969,NFG,Energy,Oil & Gas Integrated,NYSE,89.44,49.02,93.49,48.67,88.32,40.16,93.03,50.84,100.97,59.68,94.89,59.88,84.6,7719722774.287399,95035362.0,0.0556,-12.84,945500,1.15,81.2,4.19,83.86,0.88,89.0,-4.94,2.34,87.85,857470,823533,817828,0.176
2970,DGX,Healthcare,Diagnostics & Research,NYSE,89.43,48.99,92.76,45.28,94.16,55.03,102.53,66.7,106.48,67.0,101.04,70.62,190.39,20657060683.25374,110696429.0,0.0307,-10.82,794600,0.81,189.3,0.58,192.76,-1.23,194.65,-2.19,2.14,81.78,804000,984956,920824,0.092
2971,NATH,Consumer Cyclical,Restaurants,NASDAQ,89.43,48.99,95.32,58.38,90.32,45.84,91.91,48.37,95.88,50.7,85.38,38.83,100.89,414394726.30146027,4094405.0,0.0618,-14.86,17900,0.79,101.13,-0.24,100.94,-0.05,100.87,0.02,0.67,57.29,20190,22796,22848,0.089
2972,MTRX,Industrials,Engineering & Construction,NASDAQ,89.43,48.99,92.84,45.64,90.27,45.73,81.39,30.46,79.42,27.01,74.03,23.94,12.16,333386133.23221207,28133850.0,0.016,-24.52,204700,0.88,12.29,-1.06,12.63,-3.72,11.88,2.36,5.6,38.16,311750,233440,302626,0.033
2973,EOT,Financial Services,Asset Management,NYSE,89.39,48.94,93.17,47.17,92.04,50.16,93.59,51.98,97.26,53.2,93.8,56.67,16.64,263123672.02417374,15624921.0,0.13,-7.56,33700,1.29,16.91,-1.6,16.96,-1.89,17.05,-2.4,1.11,0.0,27450,26203,28656,
2974,RAC,Financial Services,Shell Companies,NYSE,89.39,48.94,95.29,58.21,89.55,43.45,90.29,44.28,93.11,44.6,93.87,56.89,10.42,304679073.96406937,29267923.0,0.0,-0.48,125800,1.54,10.42,0.0,10.42,0.0,10.41,0.1,0.11,-0.0,15620,81866,54234,
2975,ALDF,Financial Services,Shell Companies,NASDAQ,89.38,48.91,95.63,60.68,90.04,44.99,90.27,44.2,92.73,43.4,93.22,55.01,10.63,317200429.2618542,29868214.0,0.0001,-0.19,0,0.0,10.63,0.0,10.62,0.09,10.58,0.47,0.18,-0.0,51550,21066,15666,
2976,EMIS,Financial Services,Shell Companies,NASDAQ,89.38,48.91,95.46,59.26,89.77,44.08,89.56,42.07,91.78,40.81,90.74,48.02,10.1,159335919.3180027,15775833.0,0.00090000004,-0.2,0,0.0,10.1,0.0,10.1,0.0,10.07,0.3,0.01,-0.03,540,4826,4240,
2977,TDWDU,Financial Services,Shell Companies,NASDAQ,89.37,48.87,95.37,58.66,89.94,44.65,90.27,44.2,91.33,39.83,91.11,48.92,10.21,,,526.25,-2.99,0,,10.21,0.0,10.21,0.0,10.2,0.1,,,0,0,268,
2978,NRO,Financial Services,Asset Management,NYSE ARCA,89.37,48.87,94.77,55.05,91.16,48.42,92.71,50.06,94.61,48.04,87.28,41.78,2.94,186917410.37132764,63361833.0,0.27,-12.76,191400,0.69,3.0,-2.0,2.99,-1.67,2.91,1.03,1.4,73.12,264380,278210,261276,0.285
